id;content;created_at;updated_at;location_name;location_lat;location_long;privacy;scheduled_at;view_count;comment_count;share_count;reaction_count
1;../fake-data/blob/hipster.txt;2025-05-17T11:12:42;2025-05-17T19:00:39;enormously while roadway;71.82;93.2;ONLY_ME;2025-05-17T10:25:20;21435;26704;26607;2738
2;../fake-data/blob/hipster.txt;2025-05-17T04:45:48;2025-05-17T09:46:37;ugh;22.24;69.54;PUBLIC;2025-05-17T19:10:11;6145;24694;26643;19791
3;../fake-data/blob/hipster.txt;2025-05-17T18:49:41;2025-05-16T23:01:39;surface;41.62;122.28;FRIENDS;2025-05-17T02:15:49;4558;31143;15690;30677
4;../fake-data/blob/hipster.txt;2025-05-16T23:55:18;2025-05-17T17:00:52;psst uh-huh digitize;18.65;159.06;ONLY_ME;2025-05-17T01:47:39;12436;30780;13276;1825
5;../fake-data/blob/hipster.txt;2025-05-17T13:50:19;2025-05-17T15:57:19;expensive;75.67;144.3;FRIENDS;2025-05-17T13:41:22;5406;26988;7463;8375
6;../fake-data/blob/hipster.txt;2025-05-17T11:33:56;2025-05-17T17:56:55;earth;25.32;111.4;ONLY_ME;2025-05-17T05:05:40;16429;31482;29488;32666
7;../fake-data/blob/hipster.txt;2025-05-17T04:31:33;2025-05-17T05:39:12;notwithstanding eek;63.32;83.56;PUBLIC;2025-05-17T01:00:45;26504;18422;8872;3323
8;../fake-data/blob/hipster.txt;2025-05-17T03:22:46;2025-05-17T06:29:11;case;0.18;113.6;ONLY_ME;2025-05-17T05:32:10;23224;31968;18221;6682
9;../fake-data/blob/hipster.txt;2025-05-17T14:43:37;2025-05-17T05:32:11;indeed premium;9.68;165.97;FRIENDS;2025-05-16T21:07:04;14141;23365;23600;16973
10;../fake-data/blob/hipster.txt;2025-05-17T15:35:48;2025-05-17T20:05:33;arrange;54.11;99.56;ONLY_ME;2025-05-16T23:34:43;15484;28377;18470;31995
